Order,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5,meta_mean,pam_mean,meta_std,pam_std
Leotiomycetes,0.0,0.0,0.0,0.0,0.0,0.00015280662750521314,0.00014769099971855874,0.0001547146096137356,0.00015314074907645824,0.00014949158215931096,0.0,0.00015156891361465535,0.0,2.883206889619297e-06
Lineage IV,0.0,0.0,0.0,0.0,0.0,4.0398315269058336e-07,4.0407934259523594e-07,3.0296594571880336e-07,3.0304897574497013e-07,0.0,0.0,2.8281548334991854e-07,0.0,1.6597180530375132e-07
Litostomatea,0.0,0.0,0.0,0.0,0.0,0.0,1.5152975347321347e-06,5.049432428646723e-07,1.2121959029798805e-06,0.0,0.0,6.464873361153375e-07,0.0,6.947632376741119e-07
MAST-3,0.0,0.0,0.0,0.0,0.0,3.63584837421525e-06,0.0,0.0,0.0,0.0,0.0,7.2716967484305e-07,0.0,1.6260008241254784e-06
MAST-8,0.0,0.0,0.0,0.0,0.0,4.0398315269058336e-07,0.0,5.049432428646723e-07,0.0,0.0,0.0,1.8178527911105112e-07,0.0,2.51466015430068e-07
MSBL9,0.0,0.0,0.0,0.0,0.0,2.0199157634529168e-07,6.061190138928539e-07,3.0296594571880336e-07,5.050816262416169e-07,4.0403130313327287e-07,0.0,4.040378930663677e-07,0.0,1.5975361349050078e-07
Macrodasyida,0.0,0.0,0.0,0.0,0.0,2.8278820688340833e-06,4.1418132616011685e-06,2.8276821600421646e-06,4.242685660429582e-06,3.5352739024161374e-06,0.0,3.5150674106646275e-06,0.0,6.832585817547697e-07
Methanobacteriales,0.0,0.0,0.0,0.0,0.0,4.060030684540362e-05,3.6266120997922424e-05,3.847667510628803e-05,3.767908931762462e-05,3.16154494701786e-05,0.0,3.692752834748346e-05,0.0,3.358185639139859e-06
Methanocellales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0304897574497013e-07,2.0201565156663643e-07,0.0,1.010129254623213e-07,0.0,1.4285565234327074e-07
Methanomicrobiales,0.0,0.0,0.0,0.0,0.0,6.05974729035875e-07,1.3132578634345168e-06,1.8177956743128202e-06,6.060979514899403e-07,1.2120939093998187e-06,0.0,1.1110440255345942e-06,0.0,5.149429435085387e-07
Methanosarcinales,0.0,0.0,0.0,0.0,0.0,3.3328610096973125e-06,2.5254958912202246e-06,3.9385572943444436e-06,2.5254081312080846e-06,2.929226947716228e-06,0.0,3.050309854837259e-06,0.0,5.988387210211527e-07
Methylococcales,0.0,0.0,0.0,0.0,0.0,9.089620935538125e-07,9.091785208392809e-07,7.069205400105411e-07,0.0,7.070547804832275e-07,0.0,6.464231869773724e-07,0.0,3.7522196745936194e-07
Methylophilales,0.0,0.0,0.0,0.0,0.0,1.5149368225896874e-06,0.0,0.0,1.0101632524832338e-06,0.0,0.0,5.050200150145842e-07,0.0,7.141843766281557e-07
Microbotryomycetes,0.0,0.0,0.0,0.0,0.0,0.0030194710789975925,0.003030190990121674,0.0030362237193452745,0.003030085692148708,0.0030001344414161174,0.0,0.0030232211844058734,0.0,1.4246285178653247e-05
Micromonosporales,0.0,0.0,0.0,0.0,0.0,2.6258904924887917e-06,1.8183570416785619e-06,2.1207616200316238e-06,1.5152448787248506e-06,2.3231799930163187e-06,0.0,2.080686805188029e-06,0.0,4.319136124850506e-07
Mollicutes RF9,0.0,0.0,0.0,0.0,0.0,0.0,2.0203967129761797e-07,3.0296594571880336e-07,0.0,2.0201565156663643e-07,0.0,1.4140425371661153e-07,0.0,1.355017543018095e-07
Mollicutes Unknown Family,0.0,0.0,0.0,0.0,0.0,4.342818891423771e-06,4.646912439845214e-06,4.645477834354985e-06,4.242685660429582e-06,4.848375637599275e-06,0.0,4.545254092730565e-06,0.0,2.47381060228987e-07
Monoglobales,0.0,0.0,0.0,0.0,0.0,0.0007387841904829043,0.000739364177113633,0.0007297439745880244,0.0007345907172058077,0.0007369530969150897,0.0,0.0007358872312610917,0.0,3.906345671899029e-06
Mycoplasmatales,0.0,0.0,0.0,0.0,0.0,0.0,2.0203967129761797e-07,2.0197729714586892e-07,0.0,3.0302347734995466e-07,0.0,1.414080891586883e-07,0.0,1.355146180012519e-07
Myxococcales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.049432428646723e-07,3.0304897574497013e-07,6.060469546999093e-07,0.0,2.828078346619103e-07,0.0,2.802667991329908e-07
Myxozoa,0.0,0.0,0.0,0.0,0.0,2.0199157634529168e-07,5.050991782440449e-07,4.0395459429173784e-07,4.040653009932935e-07,1.0100782578331821e-06,0.0,5.0503778154151e-07,0.0,3.030330598791719e-07
Neisseriales,0.0,0.0,0.0,0.0,0.0,2.0199157634529168e-07,0.0,4.0395459429173784e-07,0.0,4.0403130313327287e-07,0.0,2.0199549475406046e-07,0.0,2.0199647618878192e-07
Nicotiana benthamiana   ,0.0,0.0,0.0,0.0,0.0,0.0,2.0203967129761797e-07,0.0,3.0304897574497013e-07,2.0201565156663643e-07,0.0,1.4142085972184492e-07,0.0,1.3552650675577177e-07
Nitrospirales,0.0,0.0,0.0,0.0,0.0,3.029873645179375e-07,2.0203967129761797e-07,0.0,5.050816262416169e-07,4.0403130313327287e-07,0.0,2.8282799303808903e-07,0.0,1.9430114943320288e-07
Nucleariidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0101632524832338e-06,8.080626062665457e-07,0.0,3.636451717499559e-07,0.0,5.030422242785673e-07
Oceanospirillales,0.0,0.0,0.0,0.0,0.0,1.0301570393609876e-05,1.1112181921368989e-05,9.593921614428773e-06,1.2020942704550483e-05,1.1110860836165004e-05,0.0,1.0827895494024626e-05,0.0,9.197770723142388e-07
Ochroconis,0.0,0.0,0.0,0.0,0.0,2.0199157634529168e-07,0.0,0.0,0.0,0.0,0.0,4.0398315269058335e-08,0.0,9.033337911808215e-08
