# Constructed from biom file
#OTU ID	OL-16S-1a	OL-16S-1b	OL-16S-2a	OL-16S-2b	OL-16S-3a	OL-16S-3b	OL-16S-4a	OL-16S-4b
abe5a6ebd5b43539bf24ae2e36b8e34f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.0
4c72d04e96fd7257f35a1f3e829d12e5	0.0	43.0	15.0	32.0	0.0	0.0	0.0	0.0
e7d1fd86b411691540ea65b35f592fe5	0.0	0.0	39.0	51.0	0.0	0.0	0.0	0.0
924a8b129bab1cc6caaeda41e6e1e598	0.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0
72a2330276d898d8192ebbb2ca7b2986	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0
fee9e1e2aa99961e8cf00ab96eafd9be	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0
3d501e7b7862b23fdf54fe5764413bb2	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0
e6adc74f8fca91fc99cf9b7cf87ea0e4	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0
f1dfb2248efb56cd80ea5997cc4e4692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0
b536b90ee5647c1f51da1165ac593121	0.0	0.0	0.0	0.0	89.0	0.0	0.0	0.0
a6fa3518bcf54dd275bc3810533813e4	0.0	0.0	0.0	0.0	0.0	0.0	42.0	47.0
fdb9e8c3851f19c248eb322f9d6944a8	0.0	0.0	88.0	0.0	0.0	0.0	0.0	0.0
3a8062494ed86ee90d2ada130c52766b	0.0	0.0	0.0	0.0	88.0	0.0	0.0	0.0
802603ab2368199770882ab5938e99e3	0.0	0.0	0.0	0.0	0.0	88.0	0.0	0.0
60d9e7fbb9b57e0d61bca27a0cba6afa	87.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aba2ba9a6ccce56101071f6cff9b9ef0	87.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ef97914abb80472e2c9e4a058422e763	0.0	30.0	16.0	21.0	13.0	7.0	0.0	0.0
ad4caf99637c2a44c6308fa017e00704	0.0	0.0	87.0	0.0	0.0	0.0	0.0	0.0
cbf032e396812b915ef6e12dbba9d8b6	0.0	0.0	60.0	27.0	0.0	0.0	0.0	0.0
11bf16b22eea91d1cb5766d8513c3d4c	0.0	0.0	0.0	0.0	0.0	87.0	0.0	0.0
b63647d73718b725337a49ab943eaf59	0.0	0.0	0.0	0.0	0.0	87.0	0.0	0.0
01048c9e8632c7d9b815131b667e8fe5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.0
fd8ffbf0381be91607af51398b99c548	33.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0
bf10dd10fe5a4c88d54701ef1dddec34	0.0	0.0	86.0	0.0	0.0	0.0	0.0	0.0
354b58be7df67bb45ea1781765dd37f3	0.0	0.0	0.0	86.0	0.0	0.0	0.0	0.0
588bb052624759ca8be0c079c726fadf	0.0	0.0	0.0	0.0	86.0	0.0	0.0	0.0
ead425f0cd7639e6e38eaf071d54cbc0	0.0	0.0	0.0	0.0	86.0	0.0	0.0	0.0
016debe5b0f05b4750b4dac3ff5a30ab	0.0	0.0	0.0	0.0	0.0	86.0	0.0	0.0
2d9fd128a3d24f7111a89a240c4cddb6	85.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
929b5c460cfed2a6a56c0e3a930b8848	0.0	0.0	0.0	0.0	0.0	85.0	0.0	0.0
24610a1b0d06b9f38035df84dab6eebc	0.0	0.0	0.0	0.0	0.0	0.0	41.0	44.0
