"","Phylum","Class","Order","Family","Genus","Species","Ocean1","Ocean2"
"24244","Verrucomicrobiota_A","Chlamydiia","Parachlamydiales","SM23-39","PALSA-1448","PALSA-1448 sp003151315",0,2
"24245","Verrucomicrobiota_A","Chlamydiia","Parachlamydiales","Simkaniaceae","GCA-2402025","GCA-2402025 sp002402025",0,6
"24246","Verrucomicrobiota_A","Chlamydiia","Chlamydiales","Chlamydiaceae","Chlamydophila","Chlamydophila gallinacea",0,4
"24247","Verrucomicrobiota_A","Chlamydiia","Chlamydiales","Chlamydiaceae","Chlamydophila","Chlamydophila caviae",0,3
"24248","SAR324","SAR324","SAR324","NAC60-12","UBA8110","UBA8110 sp002726945",0,4
"24249","Thermotogota","Thermotogae","Petrotogales","Kosmotogaceae","Kosmotoga","Kosmotoga olearia",0,6
"24250","Thermotogota","Thermotogae","Thermotogales","Fervidobacteriaceae","Fervidobacterium","Fervidobacterium sp003522805",0,3
"24251","Thermotogota","Thermotogae","Thermotogales","Fervidobacteriaceae","Fervidobacterium","Fervidobacterium sp003526765",0,2
"24252","Thermotogota","Thermotogae","Thermotogales","Thermotogaceae","Pseudothermotoga_A","Pseudothermotoga_A caldifontis",0,3
"24253","Elusimicrobiota","Elusimicrobia","Elusimicrobiales","UBA9959","UBA9959","UBA9959 sp001799795",0,1
"24254","Elusimicrobiota","Elusimicrobia","Elusimicrobiales","UBA9959","UBA9959","UBA9959 sp003482905",0,1
"24255","Elusimicrobiota","Elusimicrobia","Elusimicrobiales","UBA9959","0-14-0-20-51-18","0-14-0-20-51-18 sp002774685",0,1
"24256","Elusimicrobiota","Elusimicrobia","UBA1565","O2-12-FULL-59-9","O2-12-FULL-59-9","O2-12-FULL-59-9 sp001800185",0,1
"24257","Elusimicrobiota","UBA8919","UBA8919","UBA8919","UBA8919","UBA8919 sp002780205",0,9
"24258","Omnitrophota","koll11","GIF10","UBA6249","UBA6249","UBA6249 sp002796135",0,3
"24259","Omnitrophota","koll11","GIF10","UBA6249","UBA6249","UBA6249 sp002441305",0,2
"24260","Omnitrophota","koll11","GIF10","UBA6249","GCA-002774445","GCA-002774445 sp002774445",0,3
"24261","Omnitrophota","koll11","GIF10","UBA6249","RBG-13-41-10","RBG-13-41-10 sp001805465",0,1
"24262","Omnitrophota","koll11","GIF10","UBA12090","2-02-FULL-45-21","2-02-FULL-45-21 sp001805845",0,2
"24263","Omnitrophota","koll11","UBA9649","UBA9649","2-02-FULL-67-20","2-02-FULL-67-20 sp001805695",0,1
"24264","Omnitrophota","koll11","UBA10183","UBA10183","UBA10183","UBA10183 sp003485765",0,5
"24265","Omnitrophota","koll11","2-02-FULL-51-18","2-02-FULL-51-18","20-14-0-80-50-8","20-14-0-80-50-8 sp002779345",0,4
"24266","Omnitrophota","koll11","4484-49","4484-49","4484-49","4484-49 sp002085265",0,3
