Genus,OL-PAMA-1a,OL-PAMA-1b,OL-PAMA-2a,OL-PAMA-2b,OL-PAMA-3a,OL-PAMA-3b,OL-PAMA-4a,OL-PAMA-4b
"=""Caenarcaniphilales""",0.00013557059578062593,0.0,0.0011289206028010012,0.0,0.0,0.0,0.0,0.0
"=""Caenogastropoda""",0.0,0.0,0.019734810160285426,0.0593862721522296,0.0,0.0,0.0,0.0037444813368847376
"=""Calanoida""",0.4811504729328091,0.3573585053617989,0.14890036743170562,0.1788279575513618,0.2840219227393097,0.09835455146600926,0.08891749857537831,0.3655909074324078
"=""Caldithrix""",0.0,0.0,0.0,0.0,0.00048684414348624665,0.0,0.00021105506426626706,0.0
"=""Calditrichaceae""",0.0,0.000793977533376463,9.585174929442462e-05,0.0,0.00014015210191270738,0.0005970609194738159,0.0008547730102783816,0.00024172656620571388
"=""Calorithrix""",0.0,0.0,0.0,0.0,0.0010400761247206178,0.00025680039547260904,0.00044321563495916083,0.00017331338709088918
"=""Candidatus_Abawacabacteria""",0.0,0.0,0.0002130038873209436,0.0,0.0,0.0,0.0,0.0
"=""Candidatus_Actinomarina""",0.001074136258877267,0.0006469446568252662,0.0016720805154694072,0.0010768989492393748,0.0016596959437031136,0.0013032620070234909,0.0020050231105295372,0.0012861677673587039
"=""Candidatus_Adlerbacteria""",0.0,0.00045090082142367036,0.0011289206028010012,0.0001254639552511893,0.0,0.0,0.0,0.0
"=""Candidatus_Altiarchaeum""",0.0,0.0,0.0,0.0,0.00020653993966083191,0.0,0.0,0.0
"=""Candidatus_Amoebophilus""",0.0,0.0,0.0,0.0,0.00010326996983041596,7.704011864178271e-05,0.0,0.0
"=""Candidatus_Aquiluna""",0.0004901398462838014,0.0,0.0011395707971670482,0.00043912384337916254,0.0,0.0,0.0,0.0
"=""Candidatus_Azambacteria""",0.0,0.0,0.0002769050535172267,0.0,0.0,0.0,0.0,0.0
"=""Candidatus_Berkiella""",0.0,0.0,0.00011715213802651899,0.0,0.0,0.0,0.0,0.00010946108658371948
"=""Candidatus_Campbellbacteria""",0.0,0.0,0.0,0.0,0.0010253232718877012,0.0006484209985683377,0.0009603005424115152,0.0005108184040573576
"=""Candidatus_Electrothrix""",0.0,0.0,0.0,0.0,0.0,0.00012840019773630452,0.0,0.0
"=""Candidatus_Endobugula""",0.0,0.0,0.0,0.0,0.0,0.00021828033615171769,0.0,0.0
"=""Candidatus_Entotheonella""",0.0,0.0,0.0,0.0,0.0003835741736558307,0.0,0.00021105506426626706,0.0
"=""Candidatus_Falkowbacteria""",0.0,0.0,0.00018105330422280206,0.0,0.0,0.00031458048445394605,0.000179396804626327,0.0
"=""Candidatus_Flaviluna""",0.0,0.0007155599992158246,0.00045795835774002874,0.0,0.0,0.0,0.0,0.0
"=""Candidatus_Fritschea""",0.0,0.0,0.0,0.0,0.0,0.00020544031637808723,0.0006437179460121146,0.0
"=""Candidatus_Hepatincola""",0.0,0.0,0.0,0.0,0.0004720912906533301,0.0,0.0,0.0
"=""Candidatus_Jidaibacter""",0.0,0.0003822854790331118,0.0,0.0,0.0001327756754962491,0.0,0.0,0.0
"=""Candidatus_Kaiserbacteria""",9.38565663096641e-05,0.0,0.0,2.091065920853155e-05,0.002013764411693111,0.0025166438756315684,0.0015618074755703764,0.0013363374320429088
"=""Candidatus_Kerfeldbacteria""",0.0,0.0,0.0,0.0,0.00011802282266333252,0.0,0.0,0.0
"=""Candidatus_Komeilibacteria""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021892217316743897
"=""Candidatus_Koribacter""",0.0,0.0007253621909859044,0.0,0.0,0.0,0.0,0.0,0.0
"=""Candidatus_Latescibacter""",0.0,0.0,0.0,0.0,0.0,0.0,0.00010552753213313353,0.00012314372240668442
"=""Candidatus_Magasanikbacteria""",0.0,0.0,4.260077746418872e-05,0.0,0.0003540684679899976,6.420009886815226e-05,8.442202570650683e-05,9.577845076075455e-05
"=""Candidatus_Megaira""",0.0008134235746837555,0.0021858887647277932,0.0008520155492837744,0.00046003450258769407,0.0006417490982318706,0.00041088063275617447,9.497477891982018e-05,0.0
"=""Candidatus_Methylopumilus""",0.00068828148627087,0.0003038679448724735,0.0006816124394270196,0.00043912384337916254,0.0,0.0,0.0,0.0
"=""Candidatus_Moranbacteria""",0.0,0.0,0.0,0.0,0.0001327756754962491,4.494006920770658e-05,0.0,0.0
"=""Candidatus_Nomurabacteria""",0.00029199820629673275,0.0,0.00019170349858884923,0.0007841497203199331,0.0,0.0,0.0,2.736527164592987e-05
"=""Candidatus_Omnitrophus""",0.0,0.0,0.0012460727408275202,0.00040775785456636523,0.001253992490797908,0.0004301406624166201,0.002332158460142251,0.00014138723683730433
"=""Candidatus_Paracaedibacter""",4.171402947096182e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"=""Candidatus_Peregrinibacteria""",0.0008029950673160151,0.0,0.0010011182704084349,0.0005436771394218202,0.0005089734227356215,8.346012852859794e-05,0.00044321563495916083,0.00014594811544495933
"=""Candidatus_Peribacteria""",0.0,0.0,8.520155492837745e-05,0.0,3.688213208229141e-05,1.9260029660445678e-05,0.00016884405141301366,7.753493633013464e-05
"=""Candidatus_Puniceispirillum""",0.0,0.0,0.0,0.0,0.00027292777740895645,0.00016692025705719588,0.0,0.00037399204582770824
"=""Candidatus_Renichlamydia""",0.0,0.0,0.0003195058309814154,0.0,0.0,0.0,0.0,0.0
"=""Candidatus_Rhabdochlamydia""",1.0428507367740455e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"=""Candidatus_Roizmanbacteria""",0.0,0.0,0.0,0.0,0.0,4.494006920770658e-05,0.0001371857917730736,0.0
"=""Candidatus_Solibacter""",0.0010219937220385647,0.0,0.0,0.000554132469026086,0.0,0.0,0.0,0.0
"=""Candidatus_Staskawiczbacteria""",0.0,0.0,3.195058309814154e-05,0.0,0.0,0.0,0.0,0.0
"=""Candidatus_Tenderia""",0.0,0.0,0.0,0.0,0.0005532319812343712,0.0003017404646803156,0.0,3.648702886123983e-05
"=""Candidatus_Thiobios""",0.0006361389494321678,0.0,0.0,0.0,0.0018662358833639455,0.0007511411567573814,0.0019522593444629703,0.001272485131535739
"=""Candidatus_Thiosymbion""",0.0,0.0,0.0,0.0,0.0,0.00016050024717038065,0.0,0.0
"=""Candidatus_Udaeobacter""",0.00012514208841288545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"=""Candidatus_Uhrbacteria""",0.00010428507367740456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"=""Candidatus_Vogelbacteria""",0.0,0.0,0.0011502209915330954,0.0,0.0,0.0,0.0,0.0
"=""Candidatus_Xiphinematobacter""",0.0,0.0,0.0003621066084456041,0.0,0.0,0.0,0.0,0.0
"=""Candidatus_Zambryskibacteria""",0.0,0.0,8.520155492837745e-05,0.0002927492289194417,0.0,0.0,0.0,0.0
"=""Caproiciproducens""",0.0,0.0,0.00012780233239256616,0.0,0.0,0.0,0.0,0.0
"=""Carboxylicivirga""",0.0,0.0,0.0,0.0,0.00036144489440645584,0.0005071807810584028,0.0002532660771195205,0.0005199401612726675
"=""Catellicoccus""",0.0,0.0,0.0,0.0,0.0,1.2840019773630452e-05,0.0,0.0
"=""Catenovulum""",0.0,0.0,0.0,0.0,0.0002212927924937485,0.0,0.00030602984318608723,0.0
"=""Caulobacter""",0.0,0.0,0.001011768464774482,0.0,0.0,0.0,0.0,0.0
"=""Celeribacter""",0.0,0.0,0.0,0.0,0.0,0.0,0.0007914564909985015,0.0
"=""Cellulosilyticum""",0.00015642761051610682,0.0,0.0,0.0008259710387369961,0.0,0.0,0.0,0.0
"=""Cellvibrio""",0.00020857014735480912,0.0,0.0015655785718089355,0.0,0.0,0.0,0.0,0.0
"=""Cellvibrionaceae""",0.0,0.0,0.0,0.0,0.0005901141133166626,0.0,0.00012663303855976025,0.00025997008063633376
"=""Centrohelida""",0.0,0.0,0.0,0.0,0.0001253992490797908,0.0003017404646803156,0.0,0.00023716568759805888
"=""Cephaloticoccus""",0.0003545692505031755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"=""Cerasicoccus""",0.0,0.0,0.0,0.0,2.950570566583313e-05,0.00016692025705719588,0.00014773854498638695,5.473054329185974e-05
"=""Cerataulina""",0.0,0.0,0.0,0.0,0.001276121770047283,0.00114276175985311,0.0008231147506384416,0.0014093114897653883
"=""Cetobacterium""",0.0,0.0,0.0,0.0,0.0,0.00020544031637808723,0.0,0.0
