phylum,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Oomycota,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,0.0001,0.0001,0.00014000140001400014,0.0001,0.00016,0.0001,0.00015000150001500016,0.00012000096000768006,0.00012200122001220012,0.00012800102400819206,0.00012700076200457204,0.00010600084800678406,7.769639423162076e-05,0.00017325212233297617,0.00011625848391505067,0.00010860623573737058,0.00012513521095065564
Orthonectida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parabasalia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000020000200002e-05,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-06,0.0,1.0000060000360005e-06,3.000024000192002e-06,1.375157420028686e-06,6.875084219562546e-07,6.879200231659802e-07,6.873812388441177e-07,0.0
Peploviricota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000016000128001e-06,2.000020000200002e-06,0.0,3.0000180001080015e-06,1.0000080000640005e-06,2.750314840057372e-06,1.3750168439125092e-06,6.879200231659802e-07,0.0,0.0
Perkinsozoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,2.000016000128001e-06,2.000020000200002e-06,2.000016000128001e-06,0.0,1.0000080000640005e-06,6.87578710014343e-07,6.875084219562546e-07,3.439600115829901e-06,2.7495249553764707e-06,6.875561041244814e-07
Phixviricota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.000040000320002e-06,1.000010000100001e-06,5.000040000320002e-06,3.0000180001080015e-06,1.0000080000640005e-06,1.375157420028686e-06,6.875084219562546e-07,2.063760069497941e-06,6.873812388441177e-07,1.3751122082489629e-06
Phoronida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.0,0.0,1.2000096000768008e-05,3.0000300003000026e-06,0.0,2.000012000072001e-06,0.0,2.750314840057372e-06,0.0,2.063760069497941e-06,2.062143716532353e-06,3.4377805206224074e-06
Picozoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,1.0000080000640005e-06,0.0,0.0,6.0000360002160005e-06,0.0,0.0,0.0,0.0,0.0,0.0
Pisuviricota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,1.0000080000640005e-06,0.0,0.0,0.0,0.0,6.879200231659802e-07,0.0,0.0
Placozoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,3.0000300003000036e-05,3.000024000192002e-06,4.000040000400004e-06,1.2000096000768006e-05,5.00003000018e-06,9.000072000576005e-06,7.563365810157775e-06,6.187575797606292e-06,6.191280208493823e-06,4.124287433064706e-06,8.250673249493778e-06
Planctomycetota,0.0,0.001,0.001,0.0,0.002,0.002,0.0014,0.0015,0.0014,0.0016,0.0017400174001740015,0.0016200000000000001,0.00204,0.00174,0.0016500165001650017,0.0016570132561060488,0.0017080170801708017,0.0016530132241057928,0.0015840095040570244,0.0016420131361050887,0.001734073506656173,0.001595707047360467,0.0016056053340693982,0.001689583085078841,0.0016088812836512866
Platyhelminthes,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,7.000070000700007e-05,3.0000000000000004e-05,2e-05,7.000000000000001e-05,4.000040000400004e-05,5.600044800358403e-05,5.0000500005000046e-05,3.9000312002496016e-05,4.800028800172802e-05,2.7000216001728015e-05,6.669513487139127e-05,5.843821586628164e-05,4.471480150578872e-05,6.048954901828235e-05,6.738049820419919e-05
