,taxon_id,1K_1-genus,1K_2-genus,1K_3-genus,1K_4-genus,1K_5-genus,10K_1-genus,10K_2-genus,10K_3-genus,10K_4-genus,10K_5-genus,100K_1-genus,100K_2-genus,100K_3-genus,100K_4-genus,100K_5-genus,1M_1-genus,1M_2-genus,1M_3-genus,1M_4-genus,1M_5-genus,10M_1-genus,10M_3-genus,10M_4-genus,10M_5-genus
Nitrospina,35800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,5.0,6.0,5.0,4.0,44.0,37.0,42.0,55.0,49.0,423.0,429.0,445.0,413.0
Micromonas,38832.0,1.0,2.0,1.0,0.0,0.0,16.0,8.0,11.0,14.0,10.0,109.0,121.0,134.0,101.0,124.0,1136.0,1118.0,1144.0,1165.0,1130.0,11278.0,11337.0,11251.0,11215.0
Brevundimonas,41275.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,7.0,5.0,5.0,56.0,45.0,43.0,38.0,50.0,420.0,430.0,423.0,444.0
Aureococcus,44055.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,0.0,28.0,27.0,20.0,28.0,30.0,234.0,252.0,245.0,240.0
Devosia,46913.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0,11.0,5.0,6.0,10.0,65.0,69.0,70.0,62.0,57.0,620.0,598.0,619.0,651.0
Octadecabacter,53945.0,1.0,1.0,2.0,0.0,0.0,4.0,3.0,8.0,1.0,9.0,56.0,50.0,43.0,69.0,53.0,569.0,548.0,535.0,503.0,535.0,5494.0,5404.0,5395.0,5531.0
Cryptosporangium,65502.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,8.0,3.0,8.0,53.0,55.0,52.0,56.0
Haslea,67475.0,1.0,1.0,5.0,3.0,2.0,22.0,24.0,22.0,30.0,19.0,200.0,203.0,216.0,207.0,204.0,2056.0,2021.0,2153.0,2000.0,2088.0,20752.0,20780.0,20614.0,20559.0
Polarella,89956.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,6.0,35.0,38.0,32.0,40.0,34.0,328.0,321.0,326.0,340.0
Aquabacterium,92793.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,4.0,5.0,5.0,8.0,69.0,65.0,68.0,56.0,74.0,648.0,668.0,659.0,683.0
Tenacibaculum,104267.0,1.0,0.0,2.0,1.0,1.0,10.0,11.0,14.0,12.0,11.0,135.0,118.0,118.0,106.0,97.0,1133.0,1206.0,1195.0,1182.0,1121.0,11583.0,11546.0,11659.0,11586.0
Trichlorobacter,115782.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,9.0,11.0,3.0,8.0,47.0,53.0,41.0,46.0
Micractinium,126838.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,8.0,3.0,35.0,22.0,26.0,36.0,25.0,278.0,265.0,283.0,274.0
Limnobacter,131079.0,1.0,1.0,0.0,0.0,0.0,7.0,3.0,1.0,6.0,3.0,30.0,37.0,39.0,43.0,40.0,378.0,394.0,377.0,348.0,341.0,3678.0,3682.0,3796.0,3745.0
Gemmatimonas,173479.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,7.0,10.0,3.0,11.0,12.0,72.0,81.0,88.0,84.0,71.0,764.0,727.0,764.0,761.0
Leisingera,191028.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,2.0,15.0,15.0,16.0,13.0,19.0,160.0,137.0,135.0,140.0,142.0,1337.0,1304.0,1339.0,1359.0
Kordia,221065.0,1.0,1.0,1.0,1.0,0.0,6.0,3.0,3.0,5.0,3.0,49.0,48.0,51.0,60.0,51.0,498.0,519.0,517.0,513.0,483.0,5068.0,5061.0,5081.0,5024.0
Reinekea,230494.0,1.0,0.0,1.0,0.0,1.0,8.0,5.0,4.0,7.0,5.0,44.0,47.0,31.0,38.0,32.0,391.0,393.0,389.0,350.0,365.0,3871.0,3852.0,3893.0,3934.0
Gillisia,244698.0,1.0,0.0,0.0,0.0,0.0,10.0,8.0,8.0,7.0,12.0,65.0,75.0,92.0,86.0,74.0,732.0,683.0,757.0,700.0,688.0,7160.0,7194.0,7248.0,7214.0
Grimontia,246861.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,3.0,1.0,24.0,23.0,17.0,15.0,18.0,228.0,236.0,234.0,221.0
Rhodopirellula,265488.0,1.0,0.0,1.0,0.0,0.0,4.0,6.0,2.0,2.0,0.0,32.0,31.0,32.0,29.0,36.0,346.0,307.0,312.0,357.0,349.0,3368.0,3400.0,3251.0,3379.0
Hoeflea,274591.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,4.0,3.0,18.0,14.0,14.0,25.0,11.0,169.0,161.0,156.0,135.0,154.0,1490.0,1466.0,1483.0,1483.0
Citreicella,282682.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,11.0,11.0,14.0,9.0,6.0,115.0,130.0,141.0,131.0
Bizionia,283785.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,4.0,1.0,22.0,21.0,30.0,32.0,24.0,229.0,248.0,268.0,253.0,263.0,2458.0,2512.0,2479.0,2451.0
Thioclava,285107.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,6.0,7.0,9.0,7.0,9.0,67.0,89.0,84.0,73.0,76.0,709.0,728.0,723.0,758.0
Lacinutrix,291183.0,1.0,0.0,1.0,2.0,0.0,3.0,9.0,6.0,7.0,5.0,52.0,63.0,47.0,50.0,46.0,513.0,533.0,513.0,507.0,518.0,5189.0,5299.0,5206.0,5274.0
Tateyamaria,299261.0,1.0,1.0,0.0,1.0,3.0,5.0,8.0,8.0,6.0,1.0,61.0,54.0,49.0,66.0,52.0,568.0,556.0,579.0,573.0,541.0,5582.0,5663.0,5649.0,5682.0
Dinoroseobacter,309512.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,4.0,4.0,4.0,29.0,34.0,23.0,23.0,27.0,258.0,282.0,271.0,256.0
Fluviicola,332102.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,5.0,7.0,4.0,54.0,42.0,35.0,35.0,44.0,450.0,448.0,452.0,441.0,432.0,4490.0,4506.0,4478.0,4530.0
Olleya,336276.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,7.0,2.0,6.0,45.0,34.0,32.0,50.0,43.0,370.0,378.0,354.0,400.0,415.0,3926.0,3871.0,3854.0,3925.0
Marixanthomonas,387658.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,5.0,11.0,8.0,2.0,69.0,66.0,67.0,72.0,57.0,747.0,712.0,687.0,725.0
Salinicola,404432.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,2.0,23.0,23.0,31.0,23.0,32.0,255.0,257.0,263.0,271.0
Ferrovum,416212.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,12.0,13.0,9.0,8.0,5.0,100.0,92.0,102.0,110.0
Simiduia,447467.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,8.0,7.0,4.0,1.0,11.0,67.0,54.0,53.0,63.0,67.0,613.0,587.0,589.0,611.0
Neptuniibacter,459520.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,14.0,13.0,7.0,12.0,12.0,78.0,89.0,74.0,81.0,73.0,800.0,799.0,823.0,792.0
Haloferula,574899.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,1.0,15.0,17.0,13.0,15.0,17.0,170.0,156.0,182.0,158.0,181.0,1672.0,1642.0,1582.0,1599.0
Litoreibacter,947567.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,5.0,35.0,37.0,35.0,29.0,29.0,265.0,289.0,280.0,293.0,253.0,2867.0,2883.0,2889.0,2883.0
Gomphoneis,1115525.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,4.0,8.0,2.0,4.0,52.0,62.0,64.0,56.0,72.0,652.0,684.0,671.0,691.0
Imtechella,1165076.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,19.0,15.0,28.0,11.0,20.0,162.0,172.0,183.0,177.0
Planktotalea,1195766.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,1.0,30.0,31.0,23.0,25.0,31.0,243.0,284.0,230.0,265.0,249.0,2571.0,2593.0,2562.0,2587.0
Sphingomicrobium,1227948.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,6.0,10.0,5.0,14.0,9.0,81.0,71.0,80.0,81.0,63.0,789.0,786.0,777.0,815.0
Snuella,1235438.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,4.0,3.0,47.0,50.0,33.0,41.0,43.0,387.0,386.0,404.0,403.0
