Species,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
Aminicella lysinilytica,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Amischa decipiens,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Ammonia beccarii,,,,,,,,,,,,,,,,,,,,,,1.3e-06,1.7e-06,,1.7e-06
Ammonia sp. JP-2007,,,,,,,,,,,,,,,,,3e-06,,3e-06,4e-06,3.9e-06,3.5e-06,4.2e-06,3.9e-06,4.7e-06
Ammopiptanthus mongolicus,,,,,,,,,,,,,,,,,,,,,5e-07,1.3e-06,,3e-07,1e-06
Amoeba leningradensis,,,,,,,,,,,,,,,,5e-06,3e-06,5e-06,6e-06,5e-06,4.6e-06,5.6e-06,6.4e-06,5.1e-06,4.8e-06
Amoeboaphelidium protococcarum,,,,,,,,,,,,,,,,,,,,,4e-07,,,,3e-07
Amoebophrya sp. ex Scrippsiella sp.,,,,,,,,,,,,,,,,,,,,,,,4e-07,,
Amoebozoa sp. Pa20,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,,2e-07
Amoebozoa sp. Pa33,,,,,,,,,,,,,,,,,,,,,3e-07,9e-07,7e-07,6e-07,2e-07
Amoebozoa sp. Tmp4,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Ampedus sanguinolentus,,,,,,,,,,,,,,,,,,,,,,,,5e-07,
Amphiareus constrictus,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,2e-07,,2e-07
Amphibacillus sp. E-112  ,,,,,,,,,,,,,,,,,,,,,1.5e-06,1.1e-06,9e-07,1.3e-06,1.5e-06
Amphibacillus sp. E172  ,,,,,,,,,,,,2e-05,,,,,,2e-06,,,1.2e-06,1.1e-06,1.5e-06,7e-07,7e-07
Amphidiniella sedentaria,,,,,,,,,,,,,,,,,,,,,3.8e-06,3.1e-06,3.6e-06,3.5e-06,3.1e-06
Amphidiniopsis swedmarkii,,,,,,,,,,,,,,,,,,,,,,4e-07,3e-07,4e-07,
Amphidinium operculatum,,,,,,,,,,,,,,,,2.9e-05,,,5.7e-05,7.1e-05,2.36e-05,2.47e-05,2.12e-05,2.15e-05,2.16e-05
Amphidinium sp. FC2-CMSTAC023,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,,3e-07
Amphidinium sp. HG213,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,2e-07,
Amphifilidae sp. H-1,,,,,,,,,,,0.00016,0.00014,0.00018,0.0002,0.00021,0.000103,0.000137,0.000116,0.000115,0.000102,0.0001166,0.000117,0.0001159,0.000113,0.0001125
Amphigerontia jezoensis,,,,,,,,,,,,,,,,,,,,,4e-07,3e-07,3e-07,4e-07,6e-07
Amphilina foliacea  ,,,,,,,,,,,,,,,,,,,,,5.3e-06,1.79e-05,4.8e-06,,1.87e-05
Amphimedon queenslandica,,,,,,,,,,,,,,,,,,,,,,,4e-07,,2e-07
Amphinome rostrata  ,,,,,,,,,,,0.00012,,0.00015,0.00012,0.00015,0.000116,0.000113,0.000106,0.000114,0.000124,0.0001096,0.0001116,0.0001068,0.0001059,0.0001258
Amphiroa sp. BNTS-2014  ,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Amphiscolops sp.,,,,,,,,,,,,,,,,,,,,,,,,,3e-07
Amphisolenia bidentata,,,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,
Amphisorus hemprichii,,,,,,,,,,,,,,,,4e-06,,,,,,,,,
Amphisorus kudakajimaensis,,,,,,,,,,,,,,,,,,,,,2.2e-06,2e-06,2.1e-06,1.9e-06,2.3e-06
Amphisorus sp. 1333,,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07
Amphitetranychus quercivorus  ,,,,,,,,,,,,,,,,,,,,,2e-07,,,,2e-07
Amphitetranychus viennensis (hawthorn spider,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Amphitrite ornata  ,,,,,,,,,,,,,,,,,5e-06,3e-06,6e-06,7e-06,2.8e-06,3e-06,2.5e-06,3.7e-06,3.2e-06
Amphora cf. capitellata,,,,,,,,,,,,,,,,,,,,,,,3e-07,,3e-07
Amphora coffeiformis,,,,,,,,,,,,,,,,,2.8e-05,,4.9e-05,2.5e-05,3.91e-05,3.2e-05,,3.81e-05,5.5e-06
Amphora marina,,,,,,,,,,,,,,,,3e-06,,,,5e-06,1.8e-06,1.9e-06,1.9e-06,1.6e-06,1.3e-06
Amphotus sp. C27,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,4e-07,,
Amycolatopsis coloradensis   ,,,,,,,,,,,,,,,,,,,,,1.6e-06,1.2e-06,1.1e-06,1.1e-06,9e-07
Amycolatopsis sp. 01-Gi-030  ,,,,,,,,,,,,,,,,,,,,,1.4e-06,1.3e-06,1.8e-06,1.3e-06,1.7e-06
Amycolatopsis sp. 2-2  ,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Amycolatopsis sp. IFB-H  ,,,,,,,,,,,,,,,,,,,,,,2e-07,4e-07,,5e-07
Amycolatopsis sp. K6-08  ,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Amycolatopsis sp. Y1-2  ,,,,,,,,,,,,,,,,,,,,,,7e-07,7e-07,1e-06,8e-07
Anabaena sp. 21-Zadni09  ,,,,,,,,,,,,,,,,,,,,,4e-07,6e-07,6e-07,6e-07,4e-07
Anabaena sp. 5-Drouzk10  ,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Anabaena sp. XP6C  ,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Anadenobolus arboreus  ,,,,,,,,,,,,,,,,,,,,,4e-07,,,4e-07,
Anaphothrips cecili,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,
Anaphothrips incertus,,,,,,,,,,,,,,,,2e-06,,,,,1.1e-06,1.2e-06,1.3e-06,7e-07,1.2e-06
Anaplecta calosoma,,,,,,,,,,,,,,,,,,,,,5e-07,2e-07,4e-07,,
Anaplecta sp. FL-2015,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07,2e-07,
Anaplectus porosus,,,,,,,,,,,,,,,,,,,,,,7e-07,1.1e-06,4e-07,1.2e-06
Ancistrosyllis sp. AAN-2002 ,,,,,,,,,,,,,,,,,,,,,6.7e-06,7e-06,6.9e-06,7.3e-06,7e-06
Ancylobacter sp. Bmb4  ,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,5e-07,2e-07,
Ancylobacter sp. FA202  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07
Ancylomenes pedersoni,,,,,,,,,,,,,,,,1.5e-05,1.1e-05,1.9e-05,1.4e-05,2e-05,1.4e-05,1.69e-05,1.39e-05,1.46e-05,1.37e-05
Ancyromonas atlantica,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,
Andalucia godoyi,,,,,,,,,,,,,,,,,,,,,5e-07,2e-07,3e-07,2e-07,
Anderseniella baltica   ,,,,,,,,,,,,,,,,,,,,,7.5e-06,7.6e-06,5.9e-06,6e-06,7.1e-06
Andreaea rupestris,,,,,,,,,,,,,,,,,,,,,3e-07,,2e-07,2e-07,
Anelpistina negreai,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,2e-07,,2e-07
Anemone flaccida,,,,,,,,,,,,,,,,,,,,,9e-07,9e-07,,4e-07,
Aneurinibacillus aneurinilyticus   ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,,
Aneurinibacillus thermoaerophilus   ,,,,,,,,,,,,,,,,2e-06,,,,,1e-06,1.3e-06,1.5e-06,1.5e-06,1.1e-06
Angomonas desouzai,,,,,,,,,,,,,,,,,,,,,,,,3e-07,
Anguillosyllis capensis  ,,,,,,,,,,,,,,,,,,,,,8e-07,,7e-07,,
Anguinata gen. sp. ZQZ-2012,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Anguinella palmata,,,,,,,,,,,,,,,,,,,,,5e-07,4e-07,,5e-07,
Angulamoeba microcystivorans,,,,,,,,,,,,,,,,,,,,,4e-07,5e-07,4e-07,5e-07,3e-07
Ankistrodesmus nannoselene,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,3e-07,3e-07,2e-07
Ankistrodesmus sp. KMMCC 1507,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Annamia toxica,,,,,,,,,,,,,,,,2.4e-05,2.5e-05,2.2e-05,2.6e-05,1.8e-05,7.9e-06,9.4e-06,8.3e-06,8.6e-06,8.6e-06
Annulipalpia sp. AD-2013,,,,,,,,,,,,,,,,,,,,3e-06,1.4e-06,1.4e-06,1.6e-06,1.3e-06,1.6e-06
Annulohypoxylon stygium,,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,3e-07,4e-07
Anolis carolinensis (green anole) ,,,,,,,,,,,,,,,,,,,,,,4e-07,,4e-07,3e-07
Anopheles clowi,,,,,,,,,,,,,,,,,,,,,2e-07,,,,2e-07
Anopheles darlingi,,,,,,,,,,,,,,,,2e-06,,,,,,2e-07,,2e-07,2e-07
Anopheles plumbeus,,,,,,,,,,,,,,,,,,,,,,,3.8e-06,,
Anoplostoma sp. 1058 ,,,,,,,,,,,,,,,,,,,,,5e-07,4e-07,3e-07,5e-07,4e-07
Anoplostoma sp. BHMM-2005 ,,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,,2e-07
Anoplostoma sp. OUS6 ,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,
Anorus piceus,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Anoxybacillus kestanbolensis   ,,,,,,,,,,,,,,,,,,,,,6e-07,6e-07,1e-06,8e-07,4e-07
Anoxybacillus salavatliensis   ,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,
Anoxybacillus sp. A321  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Anoxybacillus sp. A3210  ,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Anoxybacillus sp. FB5  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Anoxybacillus sp. FB7  ,,,,,,,,,,,,,,,,2e-06,,,,,1e-06,6e-07,7e-07,1e-06,1.1e-06
Anoxybacillus sp. JS14  ,,,,,,,,,,,,,,,,,,3.3e-05,,,,,,,
Anoxybacillus sp. SMMA3  ,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Anoxybacillus sp. TD5  ,,,,,,,,,,,,,,,,,,,,,3e-07,,,2e-07,
Anoxybacillus sp. V2W70GrI  ,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Anoxybacillus sp. WF2  ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,2e-07,
Anseongella ginsenosidimutans   ,,,,,,,,,,,,,,,,,,,,,,6e-07,,,
Antarctic bacterium GA054  ,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Antarctic bacterium R-7572  ,,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,,2e-07
Antarctic bacterium R-8890  ,,,,,,,,,,,,,,,,,,,,,2.4e-06,3.1e-06,,3.6e-06,3.2e-06
Antarctic bacterium R-9219  ,,,,,,,,,,,,,,,,,,,2e-06,,,,,2e-07,
Antarctonemertes valida,,,,,,,,,,,,,,,,,,,,,,,4e-07,,
Anteholosticha marimonilata,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Anthocephalum jensenae  ,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,2e-07
Anthocoridae sp. SJ-2010 ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,4e-07,3e-07
Anthoxanthum odoratum,,,,,,,,,,,,,,,,,,,,,2e-07,,,,2e-07
Anticomidae sp. Cr38 ,0.019,,0.009,,,0.0036,0.0035,0.0032,0.0026,0.0031,0.00309,0.00324,0.00292,0.00302,0.0029,0.003207,0.00311,0.003119,0.003094,0.003118,0.0030867,0.0030863,0.0030696,0.0030911,0.0030791
Antidaphne viscoidea,,,,,,,,,,,,,,,,,,,,,,3e-07,,4e-07,
Antiokeronopsis flava,,,,,,,,,,,,,,,,,,,,,,,1e-06,,
Antiopella cristata,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,2e-07,5e-07,5e-07
Antliarhinus sp. TJH-2004,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Antonactinomyxon sp. KAB-2001 ,,,,,,,,,,,,,,,,2e-06,2e-06,,,2e-06,1.1e-06,1.2e-06,1e-06,1e-06,1.5e-06
Antonbruunia sociabilis  ,,,,,,,,,,,,,,,,,,,,,1e-06,1.2e-06,7e-07,1.2e-06,8e-07
Antrodiaetus pacificus  ,,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07
Aonchotheca musimon  ,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
Apedinella radians,,,,,,,,,,,,,,,,,,5e-06,,5e-06,1.65e-05,1.17e-05,1.94e-05,5.5e-06,1.74e-05
Aphanizomenon flos-aquae,,,,,,,,,,,,,,,,,,,,,,2e-07,6e-07,,
Aphanochaete repens,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,5e-07,4e-07,4e-07
Aphanomyces astaci,,,,,,,,,,,,,,,,,,,,,,,7e-07,6e-07,
Aphanonchus cf. europaeus AphNEurZ1,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,4e-07,2e-07,2e-07
Aphelenchoides avenae,,,,,,,,,,,,,,,,1.2e-05,9e-06,1.5e-05,8e-06,1.7e-05,1.29e-05,1.19e-05,1.17e-05,1.19e-05,1.3e-05
Aphelenchoides blastophthorus,,,,,,,,,,,,,,,,,,,,,1e-06,1.1e-06,9e-07,2e-07,2e-07
Aphelenchoides saprophilus,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,
Aphelenchoides sp. 1 JH-2015,,,,,,,,,,,,,,,,,,,,,6e-07,4e-07,2e-07,4e-07,1.4e-06
Aphelenchoides sp. H1 WY-2008,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,,2e-07,2e-07
Aphelenchoides sp. SAS-2006,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,2e-07
Aphelenchoides sp. YN,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Aphelenchus sp. 12-33345,,,,,,,,,,,,,,,,,,,,,6e-07,6e-07,,,7e-07
Aphelidium aff. melosirae P-1,,,,,,,,,,,,,,,,,,,,,8.7e-06,,,,5.7e-06
Aphidius eadyi,,,,,,,,,,,,,,,,,,,,,,,,,3e-07
Aphrophora quadrangularis,,,,,,,,,,,,,,,,,,,,,,4e-07,,3e-07,3e-07
Aphyllon fasciculatum,,,,,,,,,,,,,,,,,,,,,,3e-07,4e-07,2e-07,3e-07
Apibacter mensalis   ,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Apicomplexa sp. 1 KCW-2013,,,,,,,,,,,,,,,,,,,,,4e-07,5e-07,3e-07,,4e-07
Apicomplexa sp. type N,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,2e-07,
Apionacaridae gen. sp. AD1423,,,,,,,,,,,,,,,,7e-06,,,6e-06,,6e-06,5.6e-06,6.8e-06,5.5e-06,4.9e-06
Apis mellifera carnica (Carniolan honeybee),,,,,,,,,,,,,,,,,,,,,,,,3e-07,
Aplanochytrium sp. PR12-3  ,,,,,,,,,,,,,,,,,,,,,6e-07,,,,5e-07
Aplidium glabrum  ,,,,,,,,,,,,,,,,,,,,,5e-07,4e-07,5e-07,7e-07,2e-07
Aplysia sp. WBBW2001,,,,,,,,,,,,,,,,,,,,,3e-07,,,5e-07,
Aplysina aerophoba,,,,,,,,,,,,,,,,,,,,,4e-07,,6e-07,,
Apocarchesium rosettum,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Apolpium parvum  ,,,,,,,,,,,,,,,,,,2e-06,,,1.1e-06,7e-07,1e-06,9e-07,9e-07
Apomachaerota reticulata,,,,,,,,,,,,,,,,,2e-06,,,2e-06,1.3e-06,1.1e-06,9e-07,1.1e-06,5e-07
Apteria aphylla,,,,,,,,,,,,5e-05,6e-05,4e-05,,3.2e-05,2.8e-05,3.5e-05,3.4e-05,2.7e-05,3.39e-05,3.47e-05,3.61e-05,3.38e-05,3.49e-05
Apteropanorpa evansi,,,,,,,,,,,,,,,,,3e-06,,,,1.6e-06,1.8e-06,2.1e-06,2.1e-06,1.5e-06
Aquificales str. SRI-240  ,,,,,,,,,,,,,,,,,1.3e-05,1e-05,,,1.09e-05,1.73e-05,2.17e-05,1.02e-05,1.77e-05
Aquilaria agallochum,,,,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07
Aquimarina agarilytica,,,,,,,,,,,,,,,,1.5e-05,2.1e-05,2.5e-05,2.6e-05,1.7e-05,1.18e-05,1.41e-05,1.25e-05,1.4e-05,1.29e-05
Aquimarina latercula   ,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Aquimarina sp.,,,,,,,,,,,,,,,,,,,,,2.1e-06,1.8e-06,2e-06,1.7e-06,2e-06
Arachidicoccus rhizosphaerae   ,,,,,,,,,,,,,,,,,,,,,,4e-07,,5e-07,
Arachis duranensis,,,,,,,,,,,,,,,,,,,,,7e-07,1.1e-06,3.2e-06,6e-07,1.9e-06
Arachis ipaensis,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,,4e-07,
Arachnitis uniflora,,,,,,,,,,,,,,,,,,,,,1.9e-06,3.1e-06,2.8e-06,1.9e-06,2.9e-06
Araeosoma fenestratum,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Araneus marmoreus  ,,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07
Araucaria excelsa,,,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,6e-07
Araucaria luxurians,,,,,,0.004,0.0045,0.0062,0.0037,0.0054,0.00309,0.00311,0.00325,0.003,0.00295,0.003075,0.002984,0.003137,0.003011,0.003001,0.0030595,0.0030609,0.00307,0.0030578,0.0030445
Araucarietius viridans,,,,,,,,,,,,,,,,,2e-06,,,4e-06,2.1e-06,2.8e-06,2.1e-06,2.5e-06,2e-06
Arcella gibbosa   ,,,,,,,,,,,,,,,,,,,,,2e-07,4e-07,,,2e-07
Archaeperidinium saanichi,,,,,,,,,,,4e-05,2e-05,4e-05,4e-05,5e-05,5e-05,4e-05,5.6e-05,4.4e-05,3.1e-05,4.39e-05,5.07e-05,4.96e-05,5.23e-05,4.82e-05
Archaias angulatus,,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07
Archigregarinorida,,,,,,0.0005,,0.0006,0.0003,0.0005,0.00046,0.00047,0.00048,0.00044,0.00055,0.00047,0.00046,0.000454,0.000433,0.000477,0.000475,0.0004756,0.0004712,0.0004687,0.0004819
Archiloa rivularis  ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,,
Archimonocelidinae gen. sp. Stradbroke,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Archipsocopsis sp. KY-2004,,,,,,,,,,,,,,,,,,,,,5e-07,3e-07,4e-07,5e-07,3e-07
Archivesica gigas,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Arcicella sp. 7A-378  ,,,,,,,,,,,,,,,,,,,,,1.5e-06,1.3e-06,1.4e-06,1.2e-06,1.2e-06
Arcobacter anaerophilus   ,,,,,,,,,,,,,,,,,4e-06,,,,2.6e-06,2.4e-06,2.2e-06,1.8e-06,2.7e-06
Arcobacter sp. B4b1  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07
Arctic sea ice associated bacterium,,,,,,,,,,,,0.00016,,,0.00012,6.7e-05,5.2e-05,7.1e-05,4.9e-05,8.4e-05,5.34e-05,5.41e-05,5.25e-05,5.36e-05,5.93e-05
Arctic sea ice bacterium,,,,,,,,,,,,,,,,1.4e-05,2.2e-05,1.2e-05,2e-05,1.2e-05,1.64e-05,1.77e-05,1.5e-05,1.52e-05,1.58e-05
Arctic sea ice bacterium ARK10052,,,,,,,,,,,,,,,,,,,,,7e-07,3.4e-06,1e-06,6e-07,3.3e-06
Arenibacter sp. KMM 6684 ,,,,,,,,,,,,,,,,,,,,,8e-07,3e-07,6e-07,8e-07,7e-07
Argemone mexicana,,,,,,,,,,,,,,,,,,,,,9e-07,7e-07,7e-07,6e-07,6e-07
Argulus siamensis,,,,,,,,,,,,,,,,,,,,6e-06,2.8e-06,2.9e-06,2.1e-06,3.4e-06,3e-06
Argulus sp. Yu-2006,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,
Aristeus sp. MCBD-2010,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Armandia brevis  ,,,,,,,,,,,,,,,,,6e-06,,,,,7e-07,,1.2e-06,
Armatimonas rosea   ,,,,,,,,,,,,,,,,,,,,,,,,,3e-07
Arsenophonus endosymbiont of Aleurodicus dispersus,,,,,,,,,,,,,,,,,,,,,6e-07,8e-07,8e-07,5e-07,7e-07
Arsenophonus endosymbiont of Aleurodicus dugesii,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Arsenophonus endosymbiont of Aphis craccivora,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,7e-07,5e-07,7e-07
Arsenophonus endosymbiont of Trichobius parasiticus,,,,,,,,,,,,,,,,3e-06,,,,,8e-07,8e-07,,9e-07,8e-07
Arsenophonus endosymbiont of Trichobius yunkeri,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,
Artedidraco shackletoni,,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,2e-07,3e-07
Arthrobacter globiformis   ,,,,,,,,,,,,,,,,,,,,2e-06,1.6e-06,2.7e-06,2.1e-06,1.7e-06,2e-06
Arthrobacter humicola   ,,,,,,,,,,,,,,,,,,3e-06,,,1.6e-06,1.9e-06,1.5e-06,1.2e-06,1.8e-06
Arthrobacter parietis   ,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,2e-07,2e-07
Arthrobacter pascens   ,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07,
Arthrobacter sp. 'SMCC G962' ,,,,,,,,,,,,,,,,,,,,,4e-07,,3e-07,,
Arthrobacter sp. 'SMCC G991' ,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,2e-07
Arthrobacter sp. 17-10  ,,,,,,,,,,,,,,2e-05,2e-05,1.3e-05,1.5e-05,1.3e-05,1.1e-05,1.4e-05,1.13e-05,1.19e-05,1.2e-05,1.18e-05,1.19e-05
Arthrobacter sp. 20/2  ,,,,,,,,,,,,,,,,,,,,,,3e-07,4e-07,3e-07,3e-07
Arthrobacter sp. 3MY3  ,,,,,,,,,,,,,,,,,,,,,1.7e-06,1.6e-06,1.8e-06,1.6e-06,1.3e-06
Arthrobacter sp. 4-86  ,,,,,,,,,,,,,,,,,,,,,3e-07,,2e-07,2e-07,3e-07
Arthrobacter sp. CW01  ,,,,,,,,,,,,,,,,,,,,,8e-07,7e-07,8e-07,6e-07,9e-07
Arthrobacter sp. HS3g  ,,,,,,,,,,,,,,,,,,,,3e-06,6e-07,6e-07,7e-07,6e-07,7e-07
Arthrobacter sp. P2(1),,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,
Arthrobacter sp. PF1T1  ,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,
Arthrobacter sp. RKEM 332 ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,,
Arthrobacter sp. S10  ,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Arthrobacter sp. S49  ,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,,
Arthrobacter sp. TN221  ,,,,,,,,,,,,,,,,,,,,,,,,9e-07,5e-07
Arthrobacter sp. Tibet-S942  ,,,,,,,,,,,,,,,,,,,,,,3e-07,,2e-07,2e-07
Arthrobacter sp. UA-JF2608  ,,,,,,,,,,,,,,,,,,,,,9e-07,7e-07,6e-07,8e-07,3e-07
Arthrobacter sp. UYEF11  ,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Arthrobacter sp. ljh-32  ,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,,4e-07,
Arthrobotrys conoides,,,,,,,,,,,,,,,,,,,,,5e-07,6e-07,4e-07,6e-07,2e-07
Arthroderma uncinatum,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07,,2e-07
Arthrosphaera brandtii  ,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Arthrospira platensis,,,,,,,,,,,3e-05,3e-05,4e-05,2e-05,,2.8e-05,1.6e-05,2.3e-05,1.6e-05,1.9e-05,2.38e-05,2.26e-05,2.09e-05,2.04e-05,2.28e-05
Arthurdendyus testaceus,,,,,,0.0042,0.0028,0.0032,0.0026,0.0033,0.00345,0.00361,0.00342,0.00335,0.00371,0.003478,0.003486,0.003424,0.003403,0.003304,0.0034314,0.0033939,0.0033962,0.0033609,0.0033949
Artomyces pyxidatus,,,,,,,,,,,,,,0.0002,0.00021,8.5e-05,8.5e-05,6.6e-05,5.4e-05,7.8e-05,6.13e-05,5.94e-05,5.87e-05,5.99e-05,6.06e-05
Artostrobus sp. 2014,,,,,,,,,,,,,,,,,,,,,5e-07,4e-07,3e-07,2e-07,2e-07
Asaia bogorensis   ,,,,,,,,,,,,,,,,,,,,,,,8e-07,9e-07,7e-07
Ascaridia galli,,,,,,,,,,,,,,,,,,,,2e-06,1.8e-06,1.4e-06,1.6e-06,1.6e-06,7e-07
Ascidianibacter aurantiacus   ,,,,,,,,,,,,,,,,,4e-06,,2.6e-05,,1.49e-05,2.49e-05,1.39e-05,,
Ascobolus carbonarius,,,,,,,,,,,,,,,,,,,,,5e-07,2e-07,3e-07,4e-07,6e-07
Ascoidea asiatica,,,,,,,,,,,,,,,,,,,,,,,,9e-07,
Ascospirella lutea,,,,,,,,,,,,,,,,,,,,,4.9e-06,4.8e-06,5.2e-06,3.7e-06,5e-06
Asiopodabrus pseudolictrius,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Asparagopsis armata   ,,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,,
Asparagopsis taxiformis,,,,,,,,,,,,,,,,,,,,,6e-07,3e-07,6e-07,6e-07,6e-07
Aspergillus awamori,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,8e-07,
Aspergillus cervinus,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Aspergillus fischeri,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Aspergillus lentulus,,,,,,,,,,,,,,,,,,,,,,7e-07,1.3e-06,6e-07,9e-07
Aspergillus niger,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Aspergillus parasiticus,,,,,,,,,,,,,,,,,4e-06,,,4e-06,9.6e-06,1.01e-05,6.9e-06,1.01e-05,1.18e-05
Aspergillus restrictus,,,,,,,,,,,,,,,,,,,,,3e-07,4e-07,,3e-07,3e-07
Aspergillus sp. 08-01,,,,,,,,,,,,,,,,,,,,,3e-07,,2e-07,,3e-07
Aspergillus sp. DX-2010b,,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07
Aspergillus sp. lyh2B,,,,,,,,,,,,,,,,,,,,,8e-07,5e-07,2e-07,,4e-07
Aspergillus sp. lyh3A,,,,,,,,,,,,,,,,,,,,,,,8e-07,,
Aspergillus terreus,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
