family,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Acidaminococcaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000020000200002e-05,0.0,0.0,0.0,2.000020000200002e-05,3.0000240001920015e-06,6.000060000600006e-06,2.000016000128001e-06,8.000048000288004e-06,6.000048000384004e-06,3.437893550071715e-06,4.125050531737528e-06,5.503360185327843e-06,7.561193627285294e-06,2.7502244164979258e-06
Acidiferrobacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,3.000030000300003e-05,7.000000000000001e-05,1e-05,6e-05,2.000020000200002e-05,4.0000320002560023e-05,3.300033000330003e-05,3.500028000224002e-05,4.100024600147601e-05,3.900031200249602e-05,4.194230131087492e-05,3.918798005150651e-05,3.989936134362686e-05,3.5056443181049995e-05,4.05658101433444e-05
Acidilutibacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,1.0000080000640005e-06,0.0,1.3750168439125092e-06,0.0,0.0,1.375112208248963e-06
Acidimicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,1.000010000100001e-05,0.0,1e-05,1e-05,0.0,0.0,3.000030000300003e-06,3.000024000192002e-06,5.00003000018e-06,8.000064000512004e-06,3.437893550071715e-06,2.062525265868764e-06,1.3758400463319607e-06,8.93595610497353e-06,1.375112208248963e-06
Acidithiobacillaceae,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,4.000040000400004e-05,4e-05,0.0,6e-05,4.000040000400004e-05,2.300018400147201e-05,3.0000300003000026e-05,2.1000168001344013e-05,3.400020400122401e-05,3.600028800230402e-05,3.369135679070281e-05,2.6812828456293933e-05,3.3020161111967055e-05,3.093215574798529e-05,1.8564014811361e-05
Acidobacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0001,1.000010000100001e-05,0.00011,1e-05,0.00012000000000000002,2.000020000200002e-05,4.600036800294402e-05,4.800048000480005e-05,4.9000392003136025e-05,5.8000348002088016e-05,4.1000328002624024e-05,4.2629880020889264e-05,4.2625522161287786e-05,3.577184120463098e-05,5.8427405301749995e-05,5.019159560108715e-05
Acidocellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000020000200002e-05,2e-05,3.0000000000000004e-05,0.0,0.0,1.800014400115201e-05,1.6000160001600015e-05,2.8000224001792012e-05,1.0000060000360002e-05,2.100016800134401e-05,1.8564625170387264e-05,2.4750303190425167e-05,2.3389280787643336e-05,1.8559293448791172e-05,2.406446364435685e-05
Acidothermaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,2.000016000128001e-06,1.000010000100001e-06,0.0,2.000012000072001e-06,0.0,0.0,1.3750168439125092e-06,0.0,6.873812388441177e-07,6.875561041244814e-07
Acinetidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.000032000256002e-06,0.0,0.0,0.0,0.0,6.87578710014343e-07,2.062525265868764e-06,2.063760069497941e-06,0.0,1.375112208248963e-06
Acinetosporaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,1.000010000100001e-06,2.000016000128001e-06,3.000018000108001e-06,0.0,0.0,1.3750168439125092e-06,0.0,1.3747624776882353e-06,0.0
