,1K,10K,100K,1M,10M
Kangiellales,,5e-05,3.7416573867739416e-05,1.2497999839974393e-05,3.18053978647231e-06
Rhizosoleniales,,5.7735026918962585e-05,1.9235384061671346e-05,4.43846820423443e-06,4.112987559751012e-07
Mycoplasmatales,,,8.16496580927726e-06,1.140175425099138e-06,3.9157800414902436e-07
Mucorales,,,3.1622776601683795e-05,8.142481194328913e-06,1.3291601358251277e-06
Cantharellales,,,1.1547005383792516e-05,1.8165902124584947e-06,7.76745346515403e-07
Xylariales,,,1.5275252316519466e-05,3.7416573867739415e-06,7.410578025138569e-07
Pyramimonadales,,,,4.764451699828638e-06,3.872983346207414e-07
Prymnesiales,,,2e-05,3.4351128074635328e-06,7.724420150837655e-07
Methanosarcinales,,,1.7320508075688774e-05,5.770615218501403e-06,1.3326039671760431e-06
Cardiobacteriales,,,5.773502691896259e-06,3.6331804249169906e-06,3.696845502136469e-07
Lentisphaerales,,,1.6431676725154984e-05,4.277849927241486e-06,7.32575365861197e-07
Thalassionemales,,,1.788854381999832e-05,8.746427842267952e-06,9.036961141150649e-07
Solirubrobacterales,,,2.449489742783178e-05,3.674234614174767e-06,1.2247448713915856e-06
Salinisphaerales,,,2.5166114784235837e-05,7.79743547584717e-06,1.0843584893075422e-06
Thoreales,,,,2.380476142847617e-06,5.744562646538025e-07
Dehalococcoidales,,,,1.140175425099138e-06,3.4999999999999993e-07
Rhodothalassiales,,,,1.816590212458495e-06,4.6457866215887867e-07
Oligoflexales,,,9.574271077563381e-06,3.209361307176243e-06,6.184658438426494e-07
