# Constructed from biom file
#OTU ID	OL-PAMA-1a	OL-PAMA-1b	OL-PAMA-2a	OL-PAMA-2b	OL-PAMA-3a	OL-PAMA-3b	OL-PAMA-4a	OL-PAMA-4b
924e8bb945f0b6de574e78fc53131aad	0.0	0.0	0.0	0.0	770.0	0.0	52.0	3359.0
56276d62556e3fd7a9594bd2897544cf	378.0	1002.0	336.0	1658.0	228.0	172.0	284.0	116.0
876aff97e38def8c86680a330a5a15f9	0.0	0.0	0.0	0.0	599.0	1451.0	834.0	1163.0
f06a9957b54db064d1992c04415ee932	0.0	0.0	0.0	0.0	736.0	0.0	49.0	3225.0
5fef12faad3f4861c5fb5759d1f3947f	605.0	1566.0	898.0	901.0	0.0	0.0	0.0	0.0
f1af586350005b68e75065a4fb8850da	0.0	0.0	0.0	0.0	473.0	1365.0	574.0	1557.0
7fa09492ba54a4f567f3c92cb7b069fb	0.0	0.0	0.0	0.0	554.0	1576.0	788.0	1005.0
6c9ed3fa6a99238d8362ae0509fd8bd2	1128.0	556.0	989.0	1189.0	0.0	0.0	0.0	0.0
629606f6bfb51b2bda16912f7fe218d0	510.0	1496.0	937.0	892.0	0.0	0.0	0.0	0.0
18e491915b6e340343f976d9a20b22a5	1044.0	725.0	870.0	1196.0	0.0	0.0	0.0	0.0
c85a2fd4728bab89f82de876bbd49d28	0.0	0.0	0.0	0.0	1231.0	838.0	836.0	898.0
41db03bfaa3474bc2b275562c585e563	148.0	639.0	527.0	2483.0	0.0	0.0	0.0	0.0
b58f674033f05cb39b108bcca729c0bf	0.0	0.0	0.0	0.0	454.0	1315.0	589.0	1359.0
e7308ef439da40f062cf2ae0e09d52e8	509.0	1585.0	295.0	24.0	192.0	505.0	165.0	365.0
4f16157f974eeb2af1263c1cc5580aba	959.0	711.0	1278.0	621.0	0.0	0.0	0.0	32.0
ea6b057c5efad0498a58723392b84f69	966.0	622.0	1283.0	715.0	0.0	0.0	0.0	0.0
3a9382d7e519f8f6dd5fe1ffafc3be55	0.0	0.0	0.0	0.0	1256.0	211.0	339.0	1775.0
9c50a564bed221f7ef4ae3e7dc497f2f	502.0	1493.0	340.0	23.0	197.0	488.0	165.0	278.0
b08792a63b4360a7a73b19e6a197ffb7	0.0	0.0	0.0	0.0	92.0	995.0	449.0	1926.0
767ecf5ee6996cf6bf6f3f5cc8071f0f	0.0	0.0	0.0	0.0	209.0	1780.0	620.0	844.0
13a8f04da6b487575530eccec3d022b3	0.0	0.0	0.0	0.0	1219.0	239.0	294.0	1692.0
07ec27384241d8de2df90e4ed05ee5ca	0.0	0.0	0.0	0.0	200.0	1790.0	598.0	746.0
ebbbe52f9b4fcf2ed3c0337f11967919	0.0	0.0	0.0	0.0	1146.0	664.0	788.0	683.0
c5cf6dc98e0bef4c9fe6f0288d78ee40	0.0	0.0	0.0	0.0	1419.0	68.0	563.0	1221.0
7e27efb0a72729fac042733b677e094f	0.0	0.0	0.0	0.0	1010.0	761.0	411.0	1076.0
bfc09ff2f137d74164a5c5081c636fff	0.0	0.0	0.0	0.0	92.0	996.0	457.0	1647.0
8da63cde81bfb08b95d1d4da1b0fca06	0.0	0.0	0.0	0.0	89.0	1148.0	238.0	1685.0
afa8aa686d005842bacac6bde6d7a15e	0.0	0.0	0.0	0.0	1416.0	87.0	553.0	1091.0
85496fe7b84e6d662c84c293ea1ec44a	0.0	0.0	2146.0	912.0	0.0	0.0	0.0	0.0
cd3b699f48b4bc2335f3e94f843b1372	0.0	0.0	0.0	0.0	885.0	734.0	421.0	996.0
e1b3aec791a83f8f43c1f64adacf6248	0.0	0.0	0.0	0.0	913.0	60.0	89.0	1971.0
21c63c402fd55d52d06a042c7f175faa	0.0	0.0	2099.0	932.0	0.0	0.0	0.0	0.0
0f16a902acf3de0b3e97f5ca7cc88448	286.0	279.0	507.0	1602.0	66.0	252.0	0.0	0.0
439acb63c14b8acd14a4537d49a5d123	0.0	0.0	0.0	0.0	820.0	795.0	755.0	588.0
23bee9ab13d4e437db17a6a143dda043	0.0	0.0	0.0	0.0	842.0	743.0	1158.0	214.0
c20810bb8a5f5a4099178a7a86497349	0.0	0.0	0.0	0.0	974.0	484.0	768.0	685.0
ca33ef450d19f0c23bfaedfdac47aae7	0.0	0.0	0.0	0.0	833.0	719.0	1171.0	183.0
e39d59f8dc6fc13e8d379e8ff15092db	210.0	932.0	1249.0	487.0	0.0	0.0	0.0	0.0
